governorate,nb_menages,area_km2,household_density,poi_count,poi_density
Tunis,360332,288,1251.1527777777778,30562,4.673931549197588
Ariana,207279,482,430.0394190871369,2278,1.7450418446605953
Ben Arous,219302,761,288.1760840998686,2362,1.4119159994213928
Manouba,121092,1137,106.50131926121372,796,0.5306799854577948
Sousse,228513,2621,87.1854254101488,1012,0.3265028288977956
Sfax,304562,7545,40.366070245195495,2557,0.29184833182604863
